visitorid,itemid,count(1)
1129560,440954,2
906238,427931,2
138131,119736,3
929382,400873,2
1168431,135591,3
561611,15822,3
731857,292192,2
429213,415884,2
57905,62275,2
76757,119736,2
67712,207825,2
939751,38965,2
407633,378076,2
50921,448481,2
1381830,420896,2
1356496,248676,2
1249058,127926,2
1356496,66509,2
1395774,422671,2
1093035,260256,2
1318394,318333,2
1236753,435090,2
1093035,119736,2
503857,236814,2
57905,178554,2
796000,76617,2
1384800,285758,2
1236753,336393,2
1406087,261886,2
144274,181576,2
1362413,12609,2
1168431,109663,2
189240,297404,2
396761,391728,2
322407,260957,2
858445,165169,2
221099,361431,2
263391,248614,2
701722,302478,2
291283,300559,2
438441,119736,3
1406087,19269,2
1029499,242521,2
903507,344723,2
1236753,185179,2
1106054,79504,2
1281446,55925,2
527277,351124,2
76757,144704,2
361387,43485,2
434180,335041,2
79566,32971,2
1367601,318333,2
939309,420079,2
696363,446306,2
1161163,119736,3
146698,213423,2
1001673,366859,2
932193,421987,2
1093035,456056,2
1246436,68106,2
